"Период","Контент ID","URL","Тема","Тип","Дата публикации","В поиске Яндекса","Показы Яндекс","Клики Яндекс","CTR Яндекс","Позиция Яндекс","Показы Google","Клики Google","CTR Google","Позиция Google","Показы всего","Клики всего","CTR всего","Средняя позиция","Органические входные визиты","Органические переходы к контакту","Органическая конверсия в контакт","Входные визиты","Просмотры страницы","Пользователи","Просмотры публикации","Скролл 25%","Скролл 50%","Скролл 75%","Скролл 90%","Дочитал публикацию 100%","Активное чтение 30с","Активное чтение 60с","Активное чтение 120с","Просмотры смысловых блоков","Клики по оглавлению","Открытия FAQ","Клики по источникам","Клики по связанным материалам","Клики по кейсам","Клики по услугам","Клики по статьям","Намерение написать","Оценки полезности","Просмотры CTA","Клики CTA","Открытия выбора мессенджера","Все кнопочные действия","Telegram","WhatsApp","Переходы в чат","Телефон","Email","Карта","Все переходы к контакту","Конверсия в чат","Конверсия в контакт","Атрибуция Метрики","Решение"
"2026-07-26—2026-08-24","police-refusal-next-steps","/razbory/chto-delat-posle-otkaza-policii/","Что делать после отказа полиции в возбуждении уголовного дела","Статья","2026-07-28","Да","0","0","","","18","1","5.56%","6.22","18","1","5.56%","6.22","0","0","","1","18","7","4","0","3","0","1","0","0","1","0","24","0","0","0","1","0","0","0","1","0","19","1","2","2","0","0","0","0","0","0","0","0.00%","0.00%","viewed_page_url; цели: event_url_action_goal; органика: organic_landing_page_session","Наблюдение: выборка недостаточна, страницу не менять."
"2026-07-26—2026-08-24","debt-without-receipt","/razbory/vernut-dolg-bez-raspiski/","Можно ли вернуть долг без расписки, если есть переписка и перевод","Статья","2026-07-29","Да","0","0","","","7","0","0.00%","14.57","7","0","0.00%","14.57","0","0","","2","17","2","5","0","2","0","1","0","0","1","0","33","0","0","0","1","0","0","0","0","0","36","1","1","0","0","0","0","0","0","0","0","0.00%","0.00%","viewed_page_url; цели: event_url_action_goal; органика: organic_landing_page_session","Наблюдение: выборка недостаточна, страницу не менять."
"2026-07-26—2026-08-24","police-no-response","/razbory/politsiya-ne-otvechaet-na-zayavlenie/","Полиция не отвечает на заявление: как узнать решение и обжаловать бездействие","Статья","2026-08-01","Да","0","0","","","19","0","0.00%","12.89","19","0","0.00%","12.89","0","0","","0","2","2","2","0","2","0","1","0","0","0","0","26","0","0","0","1","0","0","0","1","0","14","2","2","3","0","1","1","0","0","0","1","50.00%","50.00%","viewed_page_url; цели: event_url_action_goal; органика: organic_landing_page_session","Наблюдение: выборка недостаточна, страницу не менять."
"2026-07-26—2026-08-24","warranty-repair-over-45-days","/razbory/garantiynyy-remont-avtomobilya-bolshe-45-dney/","Гарантийный ремонт автомобиля превысил 45 дней: что требовать от дилера","Статья","2026-08-01","Да","0","0","","","34","1","2.94%","5.88","34","1","2.94%","5.88","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","viewed_page_url; цели: event_url_action_goal; органика: organic_landing_page_session","Поисковая видимость уже набирает выборку, но данных по чтению недостаточно. Проверять CTR и интент; содержательную структуру пока не менять."
"2026-07-26—2026-08-24","unofficial-work-unpaid-wages","/razbory/rabotal-bez-dogovora-ne-vyplatili-zarplatu/","Работал без трудового договора и не выплатили зарплату: как доказать долг","Статья","2026-08-02","Да","0","0","","","2","0","0.00%","5.5","2","0","0.00%","5.5","0","0","","0","2","1","2","0","1","0","1","0","0","0","0","12","0","1","0","0","0","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0.00%","0.00%","viewed_page_url; цели: event_url_action_goal; органика: organic_landing_page_session","Наблюдение: выборка недостаточна, страницу не менять."
"2026-07-26—2026-08-24","unpaid-services-without-contract","/razbory/zakazchik-ne-oplatil-rabotu-bez-dogovora/","Заказчик не оплатил выполненную работу, а договора нет: что делать","Статья","2026-08-03","Да","0","0","","","0","0","","","0","0","","","0","0","","1","2","1","2","0","1","0","1","0","0","0","0","13","0","0","0","1","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0.00%","0.00%","viewed_page_url; цели: event_url_action_goal; органика: organic_landing_page_session","Наблюдение: выборка недостаточна, страницу не менять."
"2026-07-26—2026-08-24","autoservice-poor-painting","/razbory/plokho-pokrasili-mashinu-v-avtoservise/","Плохо покрасили машину в автосервисе: что делать до переделки и как вернуть деньги","Статья","2026-08-03","Да","0","0","","","0","0","","","0","0","","","0","0","","1","2","1","2","0","1","0","0","0","0","0","0","15","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0.00%","0.00%","viewed_page_url; цели: event_url_action_goal; органика: organic_landing_page_session","Наблюдение: выборка недостаточна, страницу не менять."
"2026-07-26—2026-08-24","judicial-order-after-writeoff","/razbory/spisali-dengi-po-sudebnomu-prikazu/","Списали деньги по судебному приказу, о котором вы не знали: как отменить приказ и вернуть взысканное","Статья","2026-08-03","Да","0","0","","","0","0","","","0","0","","","0","0","","0","2","1","2","0","2","0","2","0","0","0","0","28","0","0","0","0","0","0","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0.00%","0.00%","viewed_page_url; цели: event_url_action_goal; органика: organic_landing_page_session","Наблюдение: выборка недостаточна, страницу не менять."
"2026-07-26—2026-08-24","unshipped-goods-after-invoice","/razbory/tovar-ne-postavlen-posle-oplaty-scheta/","Оплатили счёт, а товар не поставили: как ИП вернуть деньги без подписанного договора","Статья","2026-08-03","Да","0","0","","","0","0","","","0","0","","","0","0","","0","1","1","1","0","1","0","0","0","0","0","0","11","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0.00%","0.00%","viewed_page_url; цели: event_url_action_goal; органика: organic_landing_page_session","Наблюдение: выборка недостаточна, страницу не менять."
"2026-07-26—2026-08-24","debt-receipt-order-or-claim","/razbory/dolg-po-raspiske-prikaz-ili-isk/","Долг по расписке: судебный приказ или сразу иск","Статья","2026-07-29","Да","0","0","","","5","0","0.00%","11.6","5","0","0.00%","11.6","0","0","","0","1","1","1","0","1","0","0","0","0","0","0","9","0","0","0","1","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0.00%","0.00%","viewed_page_url; цели: event_url_action_goal; органика: organic_landing_page_session","Наблюдение: выборка недостаточна, страницу не менять."
"2026-07-26—2026-08-24","debt-third-party-card","/razbory/dengi-v-dolg-na-chuzhuyu-kartu/","Деньги в долг переведены на чужую карту: с кого взыскивать","Статья","2026-07-29","Да","0","0","","","3","0","0.00%","4.67","3","0","0.00%","4.67","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","viewed_page_url; цели: event_url_action_goal; органика: organic_landing_page_session","Наблюдение: выборка недостаточна, страницу не менять."
"2026-07-26—2026-08-24","debt-no-return-term","/razbory/srok-vozvrata-dolga-ne-ukazan/","Что делать, если в расписке или переписке не указан срок возврата долга","Статья","2026-07-29","Да","0","0","","","1","0","0.00%","4","1","0","0.00%","4","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","viewed_page_url; цели: event_url_action_goal; органика: organic_landing_page_session","Наблюдение: выборка недостаточна, страницу не менять."
"2026-07-26—2026-08-24","seller-disappeared-after-payment","/razbory/prodavets-propal-posle-perevoda/","Продавец или исполнитель получил деньги и перестал отвечать: что делать","Статья","2026-07-30","Да","1","0","0.00%","7","15","1","6.67%","10.27","16","1","6.25%","10.07","1","0","0.00%","1","2","2","2","0","2","0","0","0","0","1","0","26","0","0","0","1","0","0","0","0","0","7","0","0","2","0","0","0","0","0","0","0","0.00%","0.00%","viewed_page_url; цели: event_url_action_goal; органика: organic_landing_page_session","Наблюдение: выборка недостаточна, страницу не менять."
"2026-07-26—2026-08-24","refund-non-rendered-service","/razbory/vernut-dengi-za-neokazannuyu-uslugu/","Как вернуть деньги за неоказанную услугу","Статья","2026-07-31","Да","0","0","","","3","0","0.00%","5.33","3","0","0.00%","5.33","0","0","","0","3","1","3","0","3","0","1","0","0","1","0","24","0","0","0","1","0","0","0","0","0","15","0","0","1","0","0","0","0","0","0","0","0.00%","0.00%","viewed_page_url; цели: event_url_action_goal; органика: organic_landing_page_session","Наблюдение: выборка недостаточна, страницу не менять."
"2026-07-26—2026-08-24","refund-voluntary-service-cancellation","/razbory/otkaz-ot-dogovora-okazaniya-uslug/","Отказ от договора оказания услуг: как вернуть деньги","Статья","2026-07-31","Да","0","0","","","9","0","0.00%","4.78","9","0","0.00%","4.78","0","0","","2","6","3","6","0","1","0","1","0","0","0","0","27","0","0","0","0","0","0","0","0","0","16","0","0","4","0","0","0","0","0","0","0","0.00%","0.00%","viewed_page_url; цели: event_url_action_goal; органика: organic_landing_page_session","Наблюдение: выборка недостаточна, страницу не менять."
"2026-07-26—2026-08-24","refund-imposed-service","/razbory/vernut-dengi-za-navyazannuyu-uslugu/","Как вернуть деньги за навязанную услугу","Статья","2026-08-01","Да","0","0","","","0","0","","","0","0","","","0","0","","0","2","1","2","0","2","0","2","0","0","0","0","28","0","1","0","0","0","0","0","0","0","21","0","0","1","0","0","0","0","0","0","0","0.00%","0.00%","viewed_page_url; цели: event_url_action_goal; органика: organic_landing_page_session","Наблюдение: выборка недостаточна, страницу не менять."
"2026-07-26—2026-08-24","trademark-claim-marketplace","/razbory/pretenziya-za-tovarnyy-znak-na-marketpleyse/","Пришла претензия за товарный знак на Wildberries или Ozon: что делать продавцу","Статья","2026-08-03","Да","0","0","","","0","0","","","0","0","","","0","0","","1","2","2","2","0","1","0","1","0","0","1","0","18","0","0","0","1","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0.00%","0.00%","viewed_page_url; цели: event_url_action_goal; органика: organic_landing_page_session","Наблюдение: выборка недостаточна, страницу не менять."
"2026-07-26—2026-08-24","fraud-police-statement","/razbory/zayavlenie-v-politsiyu-o-moshennichestve/","Заявление в полицию о мошенничестве: как изложить факты и приложить доказательства","Статья","2026-08-04","Да","0","0","","","0","0","","","0","0","","","0","0","","1","1","1","1","0","1","0","1","0","0","1","0","16","0","0","0","0","0","0","0","0","0","11","0","0","1","0","0","0","0","0","0","0","0.00%","0.00%","viewed_page_url; цели: event_url_action_goal; органика: organic_landing_page_session","Наблюдение: выборка недостаточна, страницу не менять."
"2026-07-26—2026-08-24","theft-police-statement","/razbory/zayavlenie-v-politsiyu-o-krazhe/","Заявление в полицию о краже: что указать, как описать имущество и подтвердить ущерб","Статья","2026-08-10","Да","0","0","","","0","0","","","0","0","","","0","0","","4","10","3","10","0","10","0","4","0","1","4","0","70","0","0","0","0","0","0","0","1","0","42","2","4","5","0","0","0","0","0","0","0","0.00%","0.00%","viewed_page_url; цели: event_url_action_goal; органика: organic_landing_page_session","Наблюдение: выборка недостаточна, страницу не менять."
"2026-07-26—2026-08-24","hotel-booking-refund","/razbory/vernut-dengi-za-otmenennuyu-bron-otelya/","Как вернуть предоплату за отменённую бронь отеля, если отель и сервис перекладывают ответственность","Статья","2026-08-04","Да","0","0","","","0","0","","","0","0","","","0","0","","1","1","1","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0.00%","0.00%","viewed_page_url; цели: event_url_action_goal; органика: organic_landing_page_session","Наблюдение: выборка недостаточна, страницу не менять."
"2026-07-26—2026-08-24","contract-engine-no-receipt","/razbory/dengi-za-kontraktnyy-dvigatel-bez-raspiski/","Деньги за контрактный двигатель передали без расписки: что делать, если мотор не привезли","Статья","2026-08-04","Да","0","0","","","0","0","","","0","0","","","0","0","","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0.00%","0.00%","viewed_page_url; цели: event_url_action_goal; органика: organic_landing_page_session","Наблюдение: выборка недостаточна, страницу не менять."
"2026-07-26—2026-08-24","ozon-lost-goods-logistics","/razbory/ozon-poteryal-tovar-ili-nachislil-lishnyuyu-logistiku/","Ozon потерял товар или начислил лишнюю логистику: как продавцу подготовить претензию","Статья","2026-08-04","Да","0","0","","","0","0","","","0","0","","","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","viewed_page_url; цели: event_url_action_goal; органика: organic_landing_page_session","Наблюдение: выборка недостаточна, страницу не менять."
"2026-07-26—2026-08-24","used-car-hidden-defect","/razbory/skrytyy-defekt-poderzhannogo-avtomobilya/","Купили подержанный автомобиль со скрытым дефектом: что делать до ремонта","Статья","2026-08-04","Да","0","0","","","0","0","","","0","0","","","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","viewed_page_url; цели: event_url_action_goal; органика: organic_landing_page_session","Наблюдение: выборка недостаточна, страницу не менять."
"2026-07-26—2026-08-24","medical-error-first-steps","/razbory/vrachebnaya-oshibka-pri-rodah-s-chego-nachat/","Врачебная ошибка при родах: с чего начать и как проверить основания для компенсации","Статья","2026-08-04","Да","0","0","","","0","0","","","0","0","","","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","viewed_page_url; цели: event_url_action_goal; органика: organic_landing_page_session","Наблюдение: выборка недостаточна, страницу не менять."
"2026-07-26—2026-08-24","bailiff-small-pension-payments","/razbory/pristav-perechislyaet-malo-s-pensii-dolzhnika/","Пристав перечисляет слишком мало: как взыскателю проверить удержания с пенсии должника","Статья","2026-08-05","Да","0","0","","","0","0","","","0","0","","","0","0","","0","2","1","2","0","1","0","1","0","0","0","0","24","0","0","0","0","0","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0.00%","0.00%","viewed_page_url; цели: event_url_action_goal; органика: organic_landing_page_session","Наблюдение: выборка недостаточна, страницу не менять."
"2026-07-26—2026-08-24","designer-infographic-exclusive-rights","/razbory/dogovor-s-dizaynerom-peredacha-prav-na-infografiku/","Договор с дизайнером: как передать исключительные права на инфографику","Статья","2026-08-05","Да","13","1","7.69%","8.31","0","0","","","13","1","7.69%","8.31","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","viewed_page_url; цели: event_url_action_goal; органика: organic_landing_page_session","Наблюдение: выборка недостаточна, страницу не менять."
"2026-07-26—2026-08-24","yandex-delivery-lost-parcel","/razbory/yandeks-dostavka-poteryala-posylku/","Яндекс Доставка потеряла посылку: как получить компенсацию, если чеков нет","Статья","2026-08-05","Да","29","1","3.45%","11.41","0","0","","","29","1","3.45%","11.41","1","0","0.00%","1","2","2","2","1","2","1","1","0","1","2","1","32","0","1","0","1","0","0","0","0","0","15","0","0","2","0","0","0","0","0","0","0","0.00%","0.00%","viewed_page_url; цели: event_url_action_goal; органика: organic_landing_page_session","Наблюдение: выборка недостаточна, страницу не менять."
"2026-07-26—2026-08-24","house-construction-contractor-refund","/razbory/podryadchik-ne-postroil-dom-posle-oplaty/","Подрядчик не построил дом после оплаты: как отказаться от договора и вернуть деньги","Статья","2026-08-06","Да","11","1","9.09%","5.55","0","0","","","11","1","9.09%","5.55","1","0","0.00%","2","2","2","2","0","1","0","1","0","0","1","0","14","0","2","0","0","0","0","0","0","0","10","0","0","2","0","0","0","0","0","0","0","0.00%","0.00%","viewed_page_url; цели: event_url_action_goal; органика: organic_landing_page_session","Наблюдение: выборка недостаточна, страницу не менять."
"2026-07-26—2026-08-24","contractor-repair-quality-claim-response","/razbory/zakazchik-trebuet-vernut-dengi-za-remont/","Заказчик требует вернуть деньги за ремонт: как подрядчику ответить на претензию","Статья","2026-08-06","Да","0","0","","","0","0","","","0","0","","","0","0","","8","43","3","42","0","11","0","10","0","0","9","0","204","0","17","0","0","0","0","0","1","0","126","1","2","5","0","0","0","0","0","0","0","0.00%","0.00%","viewed_page_url; цели: event_url_action_goal; органика: organic_landing_page_session","Поведенческий сигнал уже можно анализировать, но поисковой выборки недостаточно. UX наблюдать; SEO-текст и структуру по одному этому сигналу пока не менять."
"2026-07-26—2026-08-24","police-review","/praktika/otmena-otkazov-policii-i-dopolnitelnaya-proverka/","Отмена отказов и дополнительная проверка по факту причинения вреда","Кейс","2026-07-28","Да","0","0","","","4","0","0.00%","6.25","4","0","0.00%","6.25","0","0","","1","29","7","3","0","3","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","38","0","0","0","0","0","0","0","0","0","0","0.00%","0.00%","viewed_page_url; цели: event_url_action_goal; органика: organic_landing_page_session","Наблюдение: выборка недостаточна, страницу не менять."
"2026-07-26—2026-08-24","debt-demand","/praktika/pretenziya-i-raschet-po-dolgu-po-raspiske/","Претензия и расчёт по долгу, оформленному договором или распиской","Кейс","2026-07-29","Да","0","0","","","1","0","0.00%","5","1","0","0.00%","5","0","0","","0","5","3","4","0","2","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","18","0","0","0","0","0","0","0","0","0","0","0.00%","0.00%","viewed_page_url; цели: event_url_action_goal; органика: organic_landing_page_session","Наблюдение: выборка недостаточна, страницу не менять."
"2026-07-26—2026-08-24","refund-service-hub","/uslugi/vozvrat-deneg/","Возврат денег за услугу, аванс или навязанный договор","Услуга","","Да","0","0","","","8","0","0.00%","7","8","0","0.00%","7","0","0","","0","9","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","28","0","0","0","0","0","0","0","0","0","0","0.00%","0.00%","viewed_page_url; цели: event_url_action_goal; органика: organic_landing_page_session","Наблюдение: выборка недостаточна, страницу не менять."
"2026-07-26—2026-08-24","complaints-service-hub","/uslugi/zhaloby-i-obrashcheniya/","Жалоба на бездействие, формальный отказ или нарушение прав","Услуга","","Да","0","0","","","7","0","0.00%","8","7","0","0.00%","8","0","0","","1","4","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12","1","2","2","0","0","0","0","0","0","0","0.00%","0.00%","viewed_page_url; цели: event_url_action_goal; органика: organic_landing_page_session","Наблюдение: выборка недостаточна, страницу не менять."
