"Контент ID","URL","Запрос","Показы","Клики","CTR","Средняя позиция"
"police-no-response","/razbory/politsiya-ne-otvechaet-na-zayavlenie/","нет ответа по кусп уже прошло больше месяца и 10 дней","1","0","","8"
"police-no-response","/razbory/politsiya-ne-otvechaet-na-zayavlenie/","полиция не отвечает на заявление что делать","1","0","","11"
"police-no-response","/razbory/politsiya-ne-otvechaet-na-zayavlenie/","срок проверки кусп истек что делать","1","0","","14"
"autoservice-poor-painting","/razbory/plokho-pokrasili-mashinu-v-avtoservise/","что делать если плохо покрасили машину","6","1","16.67%","6.17"
"autoservice-poor-painting","/razbory/plokho-pokrasili-mashinu-v-avtoservise/","машину в сервисе неудачно покрасили не попали в цвет что делать","3","1","33.33%","4.33"
"autoservice-poor-painting","/razbory/plokho-pokrasili-mashinu-v-avtoservise/","плохо покрасили машину что делать","3","0","","5.33"
"autoservice-poor-painting","/razbory/plokho-pokrasili-mashinu-v-avtoservise/","частник покрасили машину как сделать чтобы переделали или вернули деньги чеков нет","2","1","50.00%","9.5"
"autoservice-poor-painting","/razbory/plokho-pokrasili-mashinu-v-avtoservise/","если плохо покрасили авто какая скидка","2","0","","11"
"autoservice-poor-painting","/razbory/plokho-pokrasili-mashinu-v-avtoservise/","здал машину в покраску меня не устраивает как покрасили а деньги взяли как заставить перекрасить нету нарядзаказа","2","0","","9"
"autoservice-poor-painting","/razbory/plokho-pokrasili-mashinu-v-avtoservise/","как вернуть деньги за некачественную покраску автомобиля","2","0","","7"
"autoservice-poor-painting","/razbory/plokho-pokrasili-mashinu-v-avtoservise/","как подать в суд если машину плохо покрасили","2","0","","6"
"autoservice-poor-painting","/razbory/plokho-pokrasili-mashinu-v-avtoservise/","как правильно написать претензию на сто что плохо покрасили с сылаясь на гниль деталей. но детали не гнилые.","2","0","","6.5"
"autoservice-poor-painting","/razbory/plokho-pokrasili-mashinu-v-avtoservise/","плохо покрасили авто что делать","2","0","","3"
"autoservice-poor-painting","/razbory/plokho-pokrasili-mashinu-v-avtoservise/","плохо покрасили автомобиль,как вернуть деньги за работу","2","0","","6"
"autoservice-poor-painting","/razbory/plokho-pokrasili-mashinu-v-avtoservise/","покрасил машину а заказчик не стал платить он не понес убытков но теперь требует с меня оплаты за переделку в стороннем сервисе. законно ли это","2","0","","12.5"
"autoservice-poor-painting","/razbory/plokho-pokrasili-mashinu-v-avtoservise/","сервис машину покрасили не в тон, говорят что в допуске, что делать","2","0","","3.5"
"autoservice-poor-painting","/razbory/plokho-pokrasili-mashinu-v-avtoservise/","человек покрасил авто не качественные услуги как его можно наказать","2","0","","10.5"
"autoservice-poor-painting","/razbory/plokho-pokrasili-mashinu-v-avtoservise/","что делать если мастер по окраске авто испортил машину оставив следы полировки","2","0","","4"
"autoservice-poor-painting","/razbory/plokho-pokrasili-mashinu-v-avtoservise/","что делать если машину плохо покрасили а деньги уже отдали","2","0","","8.5"
"autoservice-poor-painting","/razbory/plokho-pokrasili-mashinu-v-avtoservise/","если в автосервисе по покраске одного элемента повредили другой элемент","1","1","100.00%","4"
"autoservice-poor-painting","/razbory/plokho-pokrasili-mashinu-v-avtoservise/","как вернуть деньги за некачественную покраску в автосервисе","1","1","100.00%","5"
"autoservice-poor-painting","/razbory/plokho-pokrasili-mashinu-v-avtoservise/","как вернуть деньги за плохо выполненную покраску машины","1","1","100.00%","4"
"autoservice-poor-painting","/razbory/plokho-pokrasili-mashinu-v-avtoservise/","автосервис без спроса покрасили другую деталь форум","1","0","","17"
"autoservice-poor-painting","/razbory/plokho-pokrasili-mashinu-v-avtoservise/","в мастерской плохо покрасили машину и не отдают деньги","1","0","","7"
"autoservice-poor-painting","/razbory/plokho-pokrasili-mashinu-v-avtoservise/","если исполнитель покрасил машину плохо далее забрал ее на перекрас и очень долго тянет с покраской куда обращаться","1","0","","12"
"autoservice-poor-painting","/razbory/plokho-pokrasili-mashinu-v-avtoservise/","если кратко плохо покрасили машину что делать","1","0","","4"
"autoservice-poor-painting","/razbory/plokho-pokrasili-mashinu-v-avtoservise/","если на заводе окрасили автомобиль слоем краски меньше чем положено что можно потребовать от завода","1","0","","8"
"autoservice-poor-painting","/razbory/plokho-pokrasili-mashinu-v-avtoservise/","заметил через месяц что машину плохо покрасили что делать","1","0","","5"
"autoservice-poor-painting","/razbory/plokho-pokrasili-mashinu-v-avtoservise/","здал машину в покраску меня не устраивает как покрасили а деньги взяли как заставить перекрасить","1","0","","10"
"autoservice-poor-painting","/razbory/plokho-pokrasili-mashinu-v-avtoservise/","как забрать деньги после плохого покраса авто","1","0","","5"
"autoservice-poor-painting","/razbory/plokho-pokrasili-mashinu-v-avtoservise/","как заставить маляра переделать плохую перекраску авто","1","0","","6"
"autoservice-poor-painting","/razbory/plokho-pokrasili-mashinu-v-avtoservise/","как можно наказать автосервис если испортили машину при покраске","1","0","","5"
"autoservice-poor-painting","/razbory/plokho-pokrasili-mashinu-v-avtoservise/","какие варианты есть когда забираешь машину и понимаешь что покраcили плохо d cthdbct","1","0","","9"
"autoservice-poor-painting","/razbory/plokho-pokrasili-mashinu-v-avtoservise/","какой статьей можно оперировать то что фигово покрасили в сервисе","1","0","","10"
"autoservice-poor-painting","/razbory/plokho-pokrasili-mashinu-v-avtoservise/","мастер некачественно покрасил машину что делать","1","0","","4"
"autoservice-poor-painting","/razbory/plokho-pokrasili-mashinu-v-avtoservise/","мастер по покраске авто покрасил не в цвет детали что делать","1","0","","9"
"autoservice-poor-painting","/razbory/plokho-pokrasili-mashinu-v-avtoservise/","мне покрасили машину очень плохо, испачкали салон краской поломали пластиковые детали, договора нет делали в гаражах куда обращаться","1","0","","6"
"autoservice-poor-painting","/razbory/plokho-pokrasili-mashinu-v-avtoservise/","можно ли написать заявление если машину покрасили плохо","1","0","","4"
"autoservice-poor-painting","/razbory/plokho-pokrasili-mashinu-v-avtoservise/","некачественно покрасили машину","1","0","","7"
"autoservice-poor-painting","/razbory/plokho-pokrasili-mashinu-v-avtoservise/","отдал красить уаз уже месяц не как не покрасят кормят завтраками что делать","1","0","","11"
"autoservice-poor-painting","/razbory/plokho-pokrasili-mashinu-v-avtoservise/","плохо покрасил авто,нет желания переделывать и е9дить так гехочу","1","0","","2"
"autoservice-poor-painting","/razbory/plokho-pokrasili-mashinu-v-avtoservise/","плохо покрасил клиентскую машину что делать","1","0","","5"
"autoservice-poor-painting","/razbory/plokho-pokrasili-mashinu-v-avtoservise/","плохо покрасили в сервисе что делать","1","0","","2"
"autoservice-poor-painting","/razbory/plokho-pokrasili-mashinu-v-avtoservise/","плохо покрасили машину в автосервисе","1","0","","4"
"autoservice-poor-painting","/razbory/plokho-pokrasili-mashinu-v-avtoservise/","плохо покрасили машину в гаражах что делать","1","0","","6"
"autoservice-poor-painting","/razbory/plokho-pokrasili-mashinu-v-avtoservise/","плохо покрасили машину в гаражах что можно сделать","1","0","","10"
"autoservice-poor-painting","/razbory/plokho-pokrasili-mashinu-v-avtoservise/","покрасили плохо машину, был перевод на карту","1","0","","4"
"autoservice-poor-painting","/razbory/plokho-pokrasili-mashinu-v-avtoservise/","претензии на покраску автомобиля","1","0","","6"
"autoservice-poor-painting","/razbory/plokho-pokrasili-mashinu-v-avtoservise/","претензия в автосервис за некачественную покраску","1","0","","9"
"autoservice-poor-painting","/razbory/plokho-pokrasili-mashinu-v-avtoservise/","претензия в связи с некачественной покраской автомобиля","1","0","","4"
"autoservice-poor-painting","/razbory/plokho-pokrasili-mashinu-v-avtoservise/","проло покрасили машину как сделать что бы переделали или вернули деньги","1","0","","2"
"autoservice-poor-painting","/razbory/plokho-pokrasili-mashinu-v-avtoservise/","проло покрасили машину как сделать что бы переделали или вернули деньги чеков нет","1","0","","7"
"autoservice-poor-painting","/razbory/plokho-pokrasili-mashinu-v-avtoservise/","что будет если плохо покрасить машину","1","0","","8"
"seller-disappeared-after-payment","/razbory/prodavets-propal-posle-perevoda/","потерянные 16000 рублей что делать если продавец исчез после оплаты","1","0","","4"
"seller-disappeared-after-payment","/razbory/prodavets-propal-posle-perevoda/","пропал продавец после предоплаты возможности и важность обращения в полицию","1","0","","9"
"trademark-claim-marketplace","/razbory/pretenziya-za-tovarnyy-znak-na-marketpleyse/","получили досудебную притензию о проверки правомерности использовании товарного знака от велберис","1","0","","9"
"trademark-claim-marketplace","/razbory/pretenziya-za-tovarnyy-znak-na-marketpleyse/","пришла претензия от правообладателя за использование товарного знака на вб","1","0","","10"
"theft-police-statement","/razbory/zayavlenie-v-politsiyu-o-krazhe/","как правильно в заявление назвать украденные вещи","3","0","","8"
"ozon-lost-goods-logistics","/razbory/ozon-poteryal-tovar-ili-nachislil-lishnyuyu-logistiku/","досудебная претензия озон в неправильное начисление логистики","1","0","","6"
"medical-error-first-steps","/razbory/vrachebnaya-oshibka-pri-rodah-s-chego-nachat/","как доказать врачебную ошибку при родах","1","0","","6"
"medical-error-first-steps","/razbory/vrachebnaya-oshibka-pri-rodah-s-chego-nachat/","что делать если была врачебная ошибка во время родов что повлияло на ребенка","1","0","","4"
"medical-error-first-steps","/razbory/vrachebnaya-oshibka-pri-rodah-s-chego-nachat/","что можно высудить при врачебной ошибке при родах.","1","0","","9"
"designer-infographic-exclusive-rights","/razbory/dogovor-s-dizaynerom-peredacha-prav-na-infografiku/","адаптация макета заказчика возникает ли исключительное право формулировка в договоре","2","0","","4.5"
"designer-infographic-exclusive-rights","/razbory/dogovor-s-dizaynerom-peredacha-prav-na-infografiku/","какой сок указать в договоре по изготовлению инфографики","2","0","","4"
"designer-infographic-exclusive-rights","/razbory/dogovor-s-dizaynerom-peredacha-prav-na-infografiku/","договор по которому право собственности на инфографику переходит к заказчику","1","1","100.00%","2"
"designer-infographic-exclusive-rights","/razbory/dogovor-s-dizaynerom-peredacha-prav-na-infografiku/","инфографика на маркетплейсе авторские права","1","1","100.00%","9"
"designer-infographic-exclusive-rights","/razbory/dogovor-s-dizaynerom-peredacha-prav-na-infografiku/","адаптация макета заказчика возникает ли исключительное право","1","0","","7"
"designer-infographic-exclusive-rights","/razbory/dogovor-s-dizaynerom-peredacha-prav-na-infografiku/","договор авторского заказа с дизайнером","1","0","","9"
"designer-infographic-exclusive-rights","/razbory/dogovor-s-dizaynerom-peredacha-prav-na-infografiku/","договор между дизайнером инфографики и продавцом","1","0","","6"
"designer-infographic-exclusive-rights","/razbory/dogovor-s-dizaynerom-peredacha-prav-na-infografiku/","договор о передаче авторских прав с дизайнером","1","0","","13"
"designer-infographic-exclusive-rights","/razbory/dogovor-s-dizaynerom-peredacha-prav-na-infografiku/","документы для дизайнера инфографики","1","0","","2"
"designer-infographic-exclusive-rights","/razbory/dogovor-s-dizaynerom-peredacha-prav-na-infografiku/","должен ли графический дизайнер юридически оформлять работы","1","0","","11"
"designer-infographic-exclusive-rights","/razbory/dogovor-s-dizaynerom-peredacha-prav-na-infografiku/","если заказчик передает макет а исполнитель адаптирует его, возникает ли исключительное право","1","0","","13"
"designer-infographic-exclusive-rights","/razbory/dogovor-s-dizaynerom-peredacha-prav-na-infografiku/","как дизайнеру инфографики защитить свои работы","1","0","","4"
"designer-infographic-exclusive-rights","/razbory/dogovor-s-dizaynerom-peredacha-prav-na-infografiku/","как называется договор у графических дизайнеров где прописаны все стили шрифты и так далее","1","0","","7"
"designer-infographic-exclusive-rights","/razbory/dogovor-s-dizaynerom-peredacha-prav-na-infografiku/","как обычно оформляются договоры с точки зрения интеллектуальных прав после работы дизайнера","1","0","","6"
"designer-infographic-exclusive-rights","/razbory/dogovor-s-dizaynerom-peredacha-prav-na-infografiku/","как правильно подписывать авторство инфографики","1","0","","2"
"designer-infographic-exclusive-rights","/razbory/dogovor-s-dizaynerom-peredacha-prav-na-infografiku/","как прописать передачу прав рид в договоре на дизайн макет","1","0","","3"
"designer-infographic-exclusive-rights","/razbory/dogovor-s-dizaynerom-peredacha-prav-na-infografiku/","какие документы нужно предоставить заказчику если ты работаешь дизайнером инфографик для маркетплейсов","1","0","","3"
"designer-infographic-exclusive-rights","/razbory/dogovor-s-dizaynerom-peredacha-prav-na-infografiku/","какие требования должен выдвинуть дизайнер инфографики заказчику","1","0","","10"
"designer-infographic-exclusive-rights","/razbory/dogovor-s-dizaynerom-peredacha-prav-na-infografiku/","передача заказчику по (исходников) без права изменения или передачи как называется","1","0","","5"
"designer-infographic-exclusive-rights","/razbory/dogovor-s-dizaynerom-peredacha-prav-na-infografiku/","передача макетов в psd по слоям и отчуждение исключительных прав на созданные объекты интеллектуальной собственности,","1","0","","12"
"designer-infographic-exclusive-rights","/razbory/dogovor-s-dizaynerom-peredacha-prav-na-infografiku/","правообладатель может быть на инфографику","1","0","","3"
"designer-infographic-exclusive-rights","/razbory/dogovor-s-dizaynerom-peredacha-prav-na-infografiku/","проект дизайнера когда передаются исключительные права нужно ли ставить на баланс?","1","0","","9"
"designer-infographic-exclusive-rights","/razbory/dogovor-s-dizaynerom-peredacha-prav-na-infografiku/","работа с дизайнером как передать права на результат деятельности дизайнера","1","0","","7"
"designer-infographic-exclusive-rights","/razbory/dogovor-s-dizaynerom-peredacha-prav-na-infografiku/","условия договора с дизайнером о переходе прав на результаты интеллектуальной деятельности","1","0","","1"
"designer-infographic-exclusive-rights","/razbory/dogovor-s-dizaynerom-peredacha-prav-na-infografiku/","что означает авторское право инфографика","1","0","","8"
"yandex-delivery-lost-parcel","/razbory/yandeks-dostavka-poteryala-posylku/","яндекс доставка потеряла посылку что делать","10","0","","10.59"
"yandex-delivery-lost-parcel","/razbory/yandeks-dostavka-poteryala-posylku/","яндекс потерял посылку что делать","5","0","","11"
"yandex-delivery-lost-parcel","/razbory/yandeks-dostavka-poteryala-posylku/","что делать если яндекс доставка потеряла посылку","4","0","","9.75"
"yandex-delivery-lost-parcel","/razbory/yandeks-dostavka-poteryala-posylku/","потерялась посылка яндекс доставка что делать","3","0","","9.67"
"yandex-delivery-lost-parcel","/razbory/yandeks-dostavka-poteryala-posylku/","потеряли посылку в яндекс доставке что делать","3","0","","12"
"yandex-delivery-lost-parcel","/razbory/yandeks-dostavka-poteryala-posylku/","потеряли посылку яндекс доставка что делать","3","0","","10.33"
"yandex-delivery-lost-parcel","/razbory/yandeks-dostavka-poteryala-posylku/","пропала посылка в яндекс доставке что делать","3","0","","10.3"
"yandex-delivery-lost-parcel","/razbory/yandeks-dostavka-poteryala-posylku/","яндекс доставка потеряли посылку что делать","3","0","","6.67"
"yandex-delivery-lost-parcel","/razbory/yandeks-dostavka-poteryala-posylku/","возместить потерю посылки яндекс","2","0","","9.5"
"yandex-delivery-lost-parcel","/razbory/yandeks-dostavka-poteryala-posylku/","если яндекс доставка потеряла посылку что делать","2","0","","10"
"yandex-delivery-lost-parcel","/razbory/yandeks-dostavka-poteryala-posylku/","как можно забрать компенсацию с яндекс за утерянную посылку на доставке","2","0","","10.5"
"yandex-delivery-lost-parcel","/razbory/yandeks-dostavka-poteryala-posylku/","потерялась посылка яндекс доставка,что делать","2","0","","8.5"
"yandex-delivery-lost-parcel","/razbory/yandeks-dostavka-poteryala-posylku/","потерялись вещи в яндекс.доставке наши действия как потребителей","2","0","","8"
"yandex-delivery-lost-parcel","/razbory/yandeks-dostavka-poteryala-posylku/","потеряна посылка яндекс доставка","2","0","","11"
"yandex-delivery-lost-parcel","/razbory/yandeks-dostavka-poteryala-posylku/","что делать если яндекс доставка потеряло посылку","2","0","","9"
"yandex-delivery-lost-parcel","/razbory/yandeks-dostavka-poteryala-posylku/","яндекс доставка курьер пропала посылка что делать","2","0","","8"
"yandex-delivery-lost-parcel","/razbory/yandeks-dostavka-poteryala-posylku/","яндекс доставка потеряла вещи","2","0","","10.5"
"yandex-delivery-lost-parcel","/razbory/yandeks-dostavka-poteryala-posylku/","яндекс доставка пропала посылка что делать","2","0","","10.5"
"yandex-delivery-lost-parcel","/razbory/yandeks-dostavka-poteryala-posylku/","яндекс доставка что делать если посылка потерялась","2","0","","9"
"yandex-delivery-lost-parcel","/razbory/yandeks-dostavka-poteryala-posylku/","яндекс потерял посылку куда писать","2","0","","11.5"
"yandex-delivery-lost-parcel","/razbory/yandeks-dostavka-poteryala-posylku/","потерялась посылка яндекс","1","1","100.00%","1"
"yandex-delivery-lost-parcel","/razbory/yandeks-dostavka-poteryala-posylku/","утерян товар яндекс доставка","1","1","100.00%","15"
"yandex-delivery-lost-parcel","/razbory/yandeks-dostavka-poteryala-posylku/","что делать если в яндекс доставке потеряли посылку","1","1","100.00%","17"
"yandex-delivery-lost-parcel","/razbory/yandeks-dostavka-poteryala-posylku/","что делать если яндекс потерял посылку","1","1","100.00%","10"
"yandex-delivery-lost-parcel","/razbory/yandeks-dostavka-poteryala-posylku/","яндекс доставка межгород потеряли дорогую посылку, что делать","1","1","100.00%","12"
"yandex-delivery-lost-parcel","/razbory/yandeks-dostavka-poteryala-posylku/","яндекс потерял посылку","1","1","100.00%","1"
"yandex-delivery-lost-parcel","/razbory/yandeks-dostavka-poteryala-posylku/","]яндекс доставка розыск посылки","1","0","","10"
"yandex-delivery-lost-parcel","/razbory/yandeks-dostavka-poteryala-posylku/","видна ли оценочная стоимость получателю при отправки через яндекс доставку","1","0","","9"
"yandex-delivery-lost-parcel","/razbory/yandeks-dostavka-poteryala-posylku/","досудебная претензия яндекс доставке","1","0","","10"
"yandex-delivery-lost-parcel","/razbory/yandeks-dostavka-poteryala-posylku/","досудебная претензия яндекс доставке за утерю посылки","1","0","","9"
"yandex-delivery-lost-parcel","/razbory/yandeks-dostavka-poteryala-posylku/","если в яндексе доставки случайно стерли","1","0","","4"
"yandex-delivery-lost-parcel","/razbory/yandeks-dostavka-poteryala-posylku/","если потерялась посылка на яндекс что делать","1","0","","11"
"yandex-delivery-lost-parcel","/razbory/yandeks-dostavka-poteryala-posylku/","если теряется доставка через яндекс что делать","1","0","","12"
"yandex-delivery-lost-parcel","/razbory/yandeks-dostavka-poteryala-posylku/","если яндекс возвращает посылку это значит что она потеряна ?","1","0","","12"
"yandex-delivery-lost-parcel","/razbory/yandeks-dostavka-poteryala-posylku/","если яндекс доставка потеряла посылку а чека на то что в посылке нет","1","0","","5"
"yandex-delivery-lost-parcel","/razbory/yandeks-dostavka-poteryala-posylku/","если яндекс доставка потеряла посылку что можно сделать можно ли написать досудебную претензию","1","0","","9"
"yandex-delivery-lost-parcel","/razbory/yandeks-dostavka-poteryala-posylku/","забыл подтвердить посылку на точке назначения уже уехал от нее яндекс про","1","0","","11"
"yandex-delivery-lost-parcel","/razbory/yandeks-dostavka-poteryala-posylku/","как взыскать я яндекса деньги за потерянную посылку?","1","0","","11"
"yandex-delivery-lost-parcel","/razbory/yandeks-dostavka-poteryala-posylku/","как возместить ущерб от недоставленной посылки яндекс доставка","1","0","","13"
"yandex-delivery-lost-parcel","/razbory/yandeks-dostavka-poteryala-posylku/","как найти потерянную посылку в яндекс доставке","1","0","","12"
"yandex-delivery-lost-parcel","/razbory/yandeks-dostavka-poteryala-posylku/","как подать на розыск посылки в яндекс","1","0","","11"
"yandex-delivery-lost-parcel","/razbory/yandeks-dostavka-poteryala-posylku/","как самостоятельно найти потерянную посылку яндекс","1","0","","19"
"yandex-delivery-lost-parcel","/razbory/yandeks-dostavka-poteryala-posylku/","какой размер компенсации за утерянную посылку яндексом","1","0","","10"
"yandex-delivery-lost-parcel","/razbory/yandeks-dostavka-poteryala-posylku/","картинки как вернуть в яндекс доставку","1","0","","5"
"yandex-delivery-lost-parcel","/razbory/yandeks-dostavka-poteryala-posylku/","компенсация за утеренный заказ яндекс доставкой","1","0","","8"
"yandex-delivery-lost-parcel","/razbory/yandeks-dostavka-poteryala-posylku/","куда написать по поводу утери посылки в яндекс","1","0","","10"
"yandex-delivery-lost-parcel","/razbory/yandeks-dostavka-poteryala-posylku/","могу ли получить посылку если случайно удалила сообщения от яндекс доставки","1","0","","10"
"yandex-delivery-lost-parcel","/razbory/yandeks-dostavka-poteryala-posylku/","несет ли яндекс доставка юридическую ответственность за потерянную посылку и что делать если они утеряют важный документ","1","0","","17"
"yandex-delivery-lost-parcel","/razbory/yandeks-dostavka-poteryala-posylku/","посылка потерялась в пвк яндекса","1","0","","12"
"yandex-delivery-lost-parcel","/razbory/yandeks-dostavka-poteryala-posylku/","потеря посылок яндекс","1","0","","22"
"house-construction-contractor-refund","/razbory/podryadchik-ne-postroil-dom-posle-oplaty/","претензия не начали строить дом защита потребителя","2","1","50.00%","11"
"house-construction-contractor-refund","/razbory/podryadchik-ne-postroil-dom-posle-oplaty/","защита прав потребителей не достроили дом разобраться с подрядчиком частный дом","2","0","","5"
"house-construction-contractor-refund","/razbory/podryadchik-ne-postroil-dom-posle-oplaty/","не построили дом что делать","2","0","","8"
"house-construction-contractor-refund","/razbory/podryadchik-ne-postroil-dom-posle-oplaty/","обманули на счёт постройки дома деньги взяли дом не построили как правильно писать в прокуратуру заявление","2","0","","11"
"house-construction-contractor-refund","/razbory/podryadchik-ne-postroil-dom-posle-oplaty/","алиса, как написать, что исполнитель если не построит домики в срок ему какая ответственность","1","0","","8"
"house-construction-contractor-refund","/razbory/podryadchik-ne-postroil-dom-posle-oplaty/","досудебная претензия на договор подряда к строительству частного дома","1","0","","10"
"house-construction-contractor-refund","/razbory/podryadchik-ne-postroil-dom-posle-oplaty/","если дом подрядчик не достроил как обратиться в суд","1","0","","13"
"house-construction-contractor-refund","/razbory/podryadchik-ne-postroil-dom-posle-oplaty/","если подрядчик который строит дом не хочет светить сумму сделки как мне вносить суммы","1","0","","6"
"house-construction-contractor-refund","/razbory/podryadchik-ne-postroil-dom-posle-oplaty/","если подрядчик не достроил дом и получил полностью дом надо ли ему возвращать дом при взыскании убытков","1","0","","10"
"house-construction-contractor-refund","/razbory/podryadchik-ne-postroil-dom-posle-oplaty/","заключили контракт на постройку дома с физ лицом. в контракте прописана сумма и что должно быть построено. лицо отказывается строить прсит еще денег что делать","1","0","","9"
"house-construction-contractor-refund","/razbory/podryadchik-ne-postroil-dom-posle-oplaty/","защита прав потребителей не достроили дом разобраться с подрядчиком","1","0","","8"
"house-construction-contractor-refund","/razbory/podryadchik-ne-postroil-dom-posle-oplaty/","исполнитель взял деньги и отказывается строить дом","1","0","","7"
"house-construction-contractor-refund","/razbory/podryadchik-ne-postroil-dom-posle-oplaty/","как вернуть деньги за строительство дома, если подрядчик не выполнил условия","1","0","","6"
"house-construction-contractor-refund","/razbory/podryadchik-ne-postroil-dom-posle-oplaty/","как написать заявление в полицию если подрядчик не вы","1","0","","8"
"house-construction-contractor-refund","/razbory/podryadchik-ne-postroil-dom-posle-oplaty/","как написать заявление на человека с который обещал построить дом и не построил деньги взял и исчез","1","0","","6"
"house-construction-contractor-refund","/razbory/podryadchik-ne-postroil-dom-posle-oplaty/","как повлиять на подрядчика который не построил дом,уголовное дело не возбуждено","1","0","","3"
"house-construction-contractor-refund","/razbory/podryadchik-ne-postroil-dom-posle-oplaty/","как получить деньги обратно от мошенников которые обещали построить дом и не выполнили условия договора","1","0","","6"
"house-construction-contractor-refund","/razbory/podryadchik-ne-postroil-dom-posle-oplaty/","как поступать, если подрядчик строительства дома не построил дом вовремя","1","0","","11"
"house-construction-contractor-refund","/razbory/podryadchik-ne-postroil-dom-posle-oplaty/","можно ли вернуть деньги за тп если строительство не состоялось","1","0","","12"
"house-construction-contractor-refund","/razbory/podryadchik-ne-postroil-dom-posle-oplaty/","можно ли выиграть суд,если подрядчик не построил дом и не отдаёт деньги,так как купил материалы","1","0","","3"
"house-construction-contractor-refund","/razbory/podryadchik-ne-postroil-dom-posle-oplaty/","можно ли одновременно написать заявление в полицию и подать в суд на подрядчика","1","0","","6"
"house-construction-contractor-refund","/razbory/podryadchik-ne-postroil-dom-posle-oplaty/","написали заявление о договоре на строительство уплатили деньги не построек не денег что делать","1","0","","4"
"house-construction-contractor-refund","/razbory/podryadchik-ne-postroil-dom-posle-oplaty/","не выполнен договор на строительство между частными лицами куда обратиться","1","0","","10"
